period,distanceCode,scorepoints,periodSeconds,positionCode,squadId,playerId,scoreName,matchId,scoreFlowId
1,0,0,18,1,9528,1030570,1pt Miss,120550103,120550103_1
1,0,1,46,2,9527,1029361,1pt Goal,120550103,120550103_1
1,0,1,102,0,9527,1029361,1pt Goal,120550103,120550103_1
1,0,1,131,1,9527,1024725,1pt Goal,120550103,120550103_1
1,0,0,157,1,9528,1030570,1pt Miss,120550103,120550103_1
1,0,1,184,1,9527,1024725,1pt Goal,120550103,120550103_1
1,1,0,205,2,9528,1030571,2pt Miss,120550103,120550103_1
1,0,1,217,0,9527,1029481,1pt Goal,120550103,120550103_1
1,1,2,249,1,9528,1030571,2pt Goal,120550103,120550103_1
1,1,0,266,0,9527,1029361,2pt Miss,120550103,120550103_1
1,1,0,293,1,9527,1029361,4pt PP Miss,120550103,120550103_1
1,0,2,298,0,9527,1029481,2pt PP Goal,120550103,120550103_1
1,1,4,323,1,9528,1030571,4pt PP Goal,120550103,120550103_1
1,0,2,335,1,9527,1029361,2pt PP Goal,120550103,120550103_1
1,1,0,360,2,9527,1029361,4pt PP Miss,120550103,120550103_1
2,1,0,28,1,9527,1024725,2pt Miss,120550103,120550103_1
2,0,1,54,2,9528,1030565,1pt Goal,120550103,120550103_1
2,0,1,86,0,9527,1024725,1pt Goal,120550103,120550103_1
2,0,1,135,2,9527,1029361,1pt Goal,120550103,120550103_1
2,0,1,170,1,9527,1029361,1pt Goal,120550103,120550103_1
2,0,0,203,1,9527,1029361,1pt Miss,120550103,120550103_1
2,0,1,211,0,9527,1029481,1pt Goal,120550103,120550103_1
2,0,1,255,1,9528,1030565,1pt Goal,120550103,120550103_1
2,1,4,277,1,9527,1029481,4pt PP Goal,120550103,120550103_1
2,2,0,296,1,9528,1030571,6pt PP Miss,120550103,120550103_1
2,0,2,321,1,9527,1029361,2pt PP Goal,120550103,120550103_1
2,2,0,360,1,9527,1024725,6pt PP Miss,120550103,120550103_1
3,1,2,24,2,9528,1030571,2pt Goal,120550103,120550103_1
3,0,1,40,0,9527,1024725,1pt Goal,120550103,120550103_1
3,1,2,56,1,9528,1030571,2pt Goal,120550103,120550103_1
3,0,1,71,0,9527,1024725,1pt Goal,120550103,120550103_1
3,0,1,122,2,9527,1024725,1pt Goal,120550103,120550103_1
3,0,1,165,2,9527,1029361,1pt Goal,120550103,120550103_1
3,1,0,186,0,9528,1030570,2pt Miss,120550103,120550103_1
3,0,1,201,2,9527,1029361,1pt Goal,120550103,120550103_1
3,0,1,227,0,9527,1029361,1pt Goal,120550103,120550103_1
3,0,1,269,0,9527,1029361,1pt Goal,120550103,120550103_1
3,2,0,310,1,9528,1030571,6pt PP Miss,120550103,120550103_1
3,1,0,342,0,9527,1024725,4pt PP Miss,120550103,120550103_1
3,0,2,350,0,9527,1029361,2pt PP Goal,120550103,120550103_1
3,2,0,360,1,9528,1030571,6pt PP Miss,120550103,120550103_1
4,1,0,15,1,9527,1029361,2pt Miss,120550103,120550103_1
4,0,0,45,2,9527,1024725,1pt Miss,120550103,120550103_1
4,0,1,53,1,9527,1029361,1pt Goal,120550103,120550103_1
4,0,1,88,0,9528,1030568,1pt Goal,120550103,120550103_1
4,0,1,141,0,9527,1029361,1pt Goal,120550103,120550103_1
4,1,0,166,2,9528,1030571,2pt Miss,120550103,120550103_1
4,1,0,183,0,9528,1030571,2pt Miss,120550103,120550103_1
4,1,0,198,1,9527,1029481,2pt Miss,120550103,120550103_1
4,0,1,203,2,9527,1029481,1pt Goal,120550103,120550103_1
4,2,3,218,1,9528,1030571,3pt Goal,120550103,120550103_1
4,0,1,229,1,9527,1029361,1pt Goal,120550103,120550103_1
4,1,0,248,1,9528,1030568,2pt Miss,120550103,120550103_1
4,1,0,259,1,9528,1030568,2pt Miss,120550103,120550103_1
4,2,0,282,2,9527,1024725,6pt PP Miss,120550103,120550103_1
4,2,0,292,1,9527,1029361,6pt PP Miss,120550103,120550103_1
4,1,0,318,2,9527,1029361,4pt PP Miss,120550103,120550103_1
4,2,6,332,1,9528,1030571,6pt PP Goal,120550103,120550103_1
4,1,4,355,1,9527,1024725,4pt PP Goal,120550103,120550103_1
