rebounds,turnoverHeld,centrePassToGoalPerc,penalties,deflectionWithNoGain,generalPlayTurnovers,interceptPassThrown,gain,points,goalMisses,blocked,deflectionWithGain,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,secondPhaseReceive,badPasses,period,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,possessionChanges,goalAttempts,goalAttempts3,goalAttempts2,contactPenalties,goalAttempts1,quartersPlayed,minutesPlayed,feedWithAttempt,unforcedTurnovers,pickups,goals1,currentPositionCode,gainToGoalPerc,intercepts,goals3,goals2,matchId,periodId
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1030638,0,0,1,0,1,0,0,0,0,9527,I,0,0,0,0,0,0,1,1,2,0,0,0,I,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030574,0,0,0,0,1,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030637,0,0,0,0,1,0,0,0,0,9527,I,0,0,0,0,0,0,1,2,0,0,0,0,GK,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1030636,0,0,0,0,1,0,0,0,0,9527,I,0,0,0,0,0,0,1,1,2,0,1,0,C,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030572,0,0,0,0,1,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1029355,0,0,1,0,1,0,0,0,0,9527,I,0,0,0,0,0,0,1,1,0,0,0,0,GD,0,0,0,0,120550103,1
0,0,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,1030571,2,0,1,0,1,0,0,0,0,9528,GS,1,3,0,3,1,0,1,5,0,1,0,0,GA,0,0,0,2,120550103,1
1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1029354,0,0,0,0,1,0,0,0,0,9527,GD,0,0,0,0,1,0,1,4,0,0,1,0,I,0,0,0,0,120550103,1
0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,1030570,0,0,0,1,1,0,0,0,0,9528,GA,1,2,0,0,0,2,1,4,0,1,0,0,I,0,0,0,0,120550103,1
1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1029481,2,0,0,0,1,0,0,0,0,9527,I,0,2,0,0,0,2,1,2,0,0,0,2,I,0,0,0,0,120550103,1
0,1,0,1,1,3,0,0,0,0,0,0,1,0,6,0,1,1030568,0,0,0,2,1,0,0,0,0,9528,GD,3,0,0,0,1,0,1,6,1,3,1,0,GD,0,0,0,0,120550103,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1030567,0,0,3,0,1,0,0,0,0,9528,C,0,0,0,0,1,0,1,4,2,0,0,0,GK,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030565,0,0,1,0,1,0,0,0,0,9528,I,0,0,0,0,0,0,1,1,0,0,0,0,GS,0,0,0,0,120550103,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1030564,0,0,0,0,1,0,0,0,0,9528,I,0,0,0,0,1,0,1,2,1,0,0,0,C,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030562,0,0,0,0,1,0,0,0,0,9528,I,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,0,120550103,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1030561,0,0,0,0,1,0,0,0,0,9528,GK,0,0,0,0,2,0,1,5,0,0,0,0,I,0,0,0,0,120550103,1
2,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1021431,0,0,0,1,1,0,0,0,0,9527,GK,1,0,0,0,0,0,1,3,0,1,0,0,I,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1024725,2,0,0,0,1,0,0,0,0,9527,GA,0,2,0,0,0,2,1,3,0,0,0,2,GA,0,0,0,0,120550103,1
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1021429,0,0,0,0,1,0,0,0,0,9527,C,0,0,0,0,0,0,1,2,2,0,1,0,I,0,0,0,0,120550103,1
0,0,0,0,0,1,0,0,4,3,0,0,1,0,0,0,1,1029361,3,1,0,0,1,0,0,0,0,9527,GS,1,6,0,3,0,3,1,6,1,1,0,3,GS,0,0,0,0,120550103,1
