matchId,matchStatus,roundNumber,matchNumber,homeSquadId,homeSquadName,homeSquadCode,homeSquadShortCode,homeSquadNickname,awaySquadId,awaySquadName,awaySquadCode,awaySquadShortCode,awaySquadNickname,matchType,finalShortCode,finalCode,venueId,venueName,venueCode,localStartTime,utcStartTime,homeSquadScore,awaySquadScore,period,periodCompleted,periodSecs,sportId,fixtureId
117150101,complete,1,1,9266,St George-Illawarra Dragons,SGID,SGID,Dragons,9269,Gold Coast Titans,CGTW,CGTW,Titans,H,,,38,McDonald Jones Stadium,MJS,2022-02-27T12:00:00+11:00,2022-02-27T01:00:00Z,20,12,2,2,2473,4,11715
117150102,complete,1,2,9267,Sydney Roosters,SRW,SRW,Roosters,9270,Brisbane Broncos,BBW,BBW,Broncos,H,,,38,McDonald Jones Stadium,MJS,2022-02-27T13:50:00+11:00,2022-02-27T02:50:00Z,4,20,2,2,2103,4,11715
117150103,complete,1,3,9268,Newcastle Knights,NKW,NKW,Knights,9271,Parramatta Eels,PEW,PEW,Eels,H,,,38,McDonald Jones Stadium,MJS,2022-02-27T15:40:00+11:00,2022-02-27T04:40:00Z,12,13,2,2,2105,4,11715
117150201,complete,2,1,9268,Newcastle Knights,NKW,NKW,Knights,9270,Brisbane Broncos,BBW,BBW,Broncos,H,,,44,WIN Stadium,WLW,2022-03-06T12:00:00+11:00,2022-03-06T01:00:00Z,10,28,2,2,2107,4,11715
117150202,complete,2,2,9267,Sydney Roosters,SRW,SRW,Roosters,9269,Gold Coast Titans,CGTW,CGTW,Titans,H,,,44,WIN Stadium,WLW,2022-03-06T13:50:00+11:00,2022-03-06T02:50:00Z,16,26,2,2,2152,4,11715
117150203,complete,2,3,9266,St George-Illawarra Dragons,SGID,SGID,Dragons,9271,Parramatta Eels,PEW,PEW,Eels,H,,,44,WIN Stadium,WLW,2022-03-06T15:40:00+11:00,2022-03-06T04:40:00Z,10,0,2,2,2116,4,11715
117150301,complete,3,1,9267,Sydney Roosters,SRW,SRW,Roosters,9268,Newcastle Knights,NKW,NKW,Knights,H,,,60,SCG,SCG,2022-03-12T13:00:00+11:00,2022-03-12T02:00:00Z,28,12,2,2,2111,4,11715
117150302,complete,3,2,9270,Brisbane Broncos,BBW,BBW,Broncos,9266,St George-Illawarra Dragons,SGID,SGID,Dragons,H,,,3095,CommBank Stadium,CBS,2022-03-13T12:00:00+11:00,2022-03-13T01:00:00Z,22,18,2,2,2111,4,11715
117150303,complete,3,3,9271,Parramatta Eels,PEW,PEW,Eels,9269,Gold Coast Titans,CGTW,CGTW,Titans,H,,,3095,CommBank Stadium,CBS,2022-03-13T13:45:00+11:00,2022-03-13T02:45:00Z,24,14,2,2,2109,4,11715
117150401,complete,4,1,9269,Gold Coast Titans,CGTW,CGTW,Titans,9270,Brisbane Broncos,BBW,BBW,Broncos,H,,,278,Cbus Super Stadium,CBUS,2022-03-19T13:00:00+10:00,2022-03-19T03:00:00Z,28,26,2,2,2109,4,11715
117150402,complete,4,2,9271,Parramatta Eels,PEW,PEW,Eels,9267,Sydney Roosters,SRW,SRW,Roosters,H,,,38,McDonald Jones Stadium,MJS,2022-03-20T12:00:00+11:00,2022-03-20T01:00:00Z,18,19,2,2,2105,4,11715
117150403,complete,4,3,9268,Newcastle Knights,NKW,NKW,Knights,9266,St George-Illawarra Dragons,SGID,SGID,Dragons,H,,,38,McDonald Jones Stadium,MJS,2022-03-20T13:45:00+11:00,2022-03-20T02:45:00Z,4,40,2,2,2132,4,11715
117150501,complete,5,1,9266,St George-Illawarra Dragons,SGID,SGID,Dragons,9267,Sydney Roosters,SRW,SRW,Roosters,H,,,231,Netstrata Jubilee Stadium,NJS,2022-03-26T13:00:00+11:00,2022-03-26T02:00:00Z,16,10,2,2,2129,4,11715
117150502,complete,5,2,9269,Gold Coast Titans,CGTW,CGTW,Titans,9268,Newcastle Knights,NKW,NKW,Knights,H,,,66,Suncorp Stadium,BRI,2022-03-27T12:00:00+10:00,2022-03-27T02:00:00Z,14,10,2,2,2120,4,11715
117150503,complete,5,3,9270,Brisbane Broncos,BBW,BBW,Broncos,9271,Parramatta Eels,PEW,PEW,Eels,H,,,66,Suncorp Stadium,BRI,2022-03-27T13:45:00+10:00,2022-03-27T03:45:00Z,38,4,2,2,2106,4,11715
